cnt,date,dow,week,hour,is_weekend
28312,2015-01-01,3,1,0,0
31707,2015-01-01,3,1,1,0
28068,2015-01-01,3,1,2,0
24288,2015-01-01,3,1,3,0
17081,2015-01-01,3,1,4,0
9112,2015-01-01,3,1,5,0
6637,2015-01-01,3,1,6,0
6011,2015-01-01,3,1,7,0
5586,2015-01-01,3,1,8,0
6977,2015-01-01,3,1,9,0
9949,2015-01-01,3,1,10,0
13870,2015-01-01,3,1,11,0
16582,2015-01-01,3,1,12,0
17448,2015-01-01,3,1,13,0
17994,2015-01-01,3,1,14,0
18279,2015-01-01,3,1,15,0
16602,2015-01-01,3,1,16,0
17511,2015-01-01,3,1,17,0
18082,2015-01-01,3,1,18,0
16485,2015-01-01,3,1,19,0
15017,2015-01-01,3,1,20,0
14801,2015-01-01,3,1,21,0
14005,2015-01-01,3,1,22,0
11610,2015-01-01,3,1,23,0
9388,2015-01-02,4,1,0,0
6291,2015-01-02,4,1,1,0
4027,2015-01-02,4,1,2,0
2905,2015-01-02,4,1,3,0
2626,2015-01-02,4,1,4,0
2755,2015-01-02,4,1,5,0
5811,2015-01-02,4,1,6,0
8256,2015-01-02,4,1,7,0
10946,2015-01-02,4,1,8,0
13373,2015-01-02,4,1,9,0
15243,2015-01-02,4,1,10,0
16999,2015-01-02,4,1,11,0
19252,2015-01-02,4,1,12,0
19023,2015-01-02,4,1,13,0
20260,2015-01-02,4,1,14,0
20429,2015-01-02,4,1,15,0
18223,2015-01-02,4,1,16,0
20680,2015-01-02,4,1,17,0
23008,2015-01-02,4,1,18,0
23227,2015-01-02,4,1,19,0
20153,2015-01-02,4,1,20,0
19611,2015-01-02,4,1,21,0
21722,2015-01-02,4,1,22,0
21088,2015-01-02,4,1,23,0
19467,2015-01-03,5,1,0,1
16660,2015-01-03,5,1,1,1
13607,2015-01-03,5,1,2,1
10620,2015-01-03,5,1,3,1
7061,2015-01-03,5,1,4,1
3512,2015-01-03,5,1,5,1
4120,2015-01-03,5,1,6,1
5216,2015-01-03,5,1,7,1
7908,2015-01-03,5,1,8,1
11869,2015-01-03,5,1,9,1
14975,2015-01-03,5,1,10,1
17966,2015-01-03,5,1,11,1
21644,2015-01-03,5,1,12,1
23718,2015-01-03,5,1,13,1
24143,2015-01-03,5,1,14,1
23494,2015-01-03,5,1,15,1
20350,2015-01-03,5,1,16,1
22295,2015-01-03,5,1,17,1
25305,2015-01-03,5,1,18,1
25667,2015-01-03,5,1,19,1
20531,2015-01-03,5,1,20,1
21399,2015-01-03,5,1,21,1
22409,2015-01-03,5,1,22,1
22833,2015-01-03,5,1,23,1
20632,2015-01-04,6,1,0,1
17494,2015-01-04,6,1,1,1
13485,2015-01-04,6,1,2,1
9842,2015-01-04,6,1,3,1
6384,2015-01-04,6,1,4,1
3365,2015-01-04,6,1,5,1
3625,2015-01-04,6,1,6,1
4734,2015-01-04,6,1,7,1
7070,2015-01-04,6,1,8,1
10153,2015-01-04,6,1,9,1
14304,2015-01-04,6,1,10,1
16325,2015-01-04,6,1,11,1
18101,2015-01-04,6,1,12,1
18639,2015-01-04,6,1,13,1
18722,2015-01-04,6,1,14,1
18234,2015-01-04,6,1,15,1
18056,2015-01-04,6,1,16,1
18257,2015-01-04,6,1,17,1
18498,2015-01-04,6,1,18,1
18494,2015-01-04,6,1,19,1
17529,2015-01-04,6,1,20,1
14063,2015-01-04,6,1,21,1
12639,2015-01-04,6,1,22,1
10203,2015-01-04,6,1,23,1
7653,2015-01-05,0,2,0,0
4685,2015-01-05,0,2,1,0
3076,2015-01-05,0,2,2,0
2071,2015-01-05,0,2,3,0
2310,2015-01-05,0,2,4,0
4218,2015-01-05,0,2,5,0
11095,2015-01-05,0,2,6,0
18866,2015-01-05,0,2,7,0
22131,2015-01-05,0,2,8,0
19602,2015-01-05,0,2,9,0
16290,2015-01-05,0,2,10,0
16428,2015-01-05,0,2,11,0
17022,2015-01-05,0,2,12,0
17127,2015-01-05,0,2,13,0
18916,2015-01-05,0,2,14,0
19897,2015-01-05,0,2,15,0
17718,2015-01-05,0,2,16,0
21727,2015-01-05,0,2,17,0
26144,2015-01-05,0,2,18,0
25655,2015-01-05,0,2,19,0
22028,2015-01-05,0,2,20,0
19814,2015-01-05,0,2,21,0
16256,2015-01-05,0,2,22,0
12725,2015-01-05,0,2,23,0
8457,2015-01-06,1,2,0,0
4968,2015-01-06,1,2,1,0
3107,2015-01-06,1,2,2,0
1976,2015-01-06,1,2,3,0
2159,2015-01-06,1,2,4,0
4083,2015-01-06,1,2,5,0
11366,2015-01-06,1,2,6,0
20044,2015-01-06,1,2,7,0
24491,2015-01-06,1,2,8,0
21343,2015-01-06,1,2,9,0
17697,2015-01-06,1,2,10,0
17191,2015-01-06,1,2,11,0
17987,2015-01-06,1,2,12,0
17464,2015-01-06,1,2,13,0
19314,2015-01-06,1,2,14,0
19604,2015-01-06,1,2,15,0
17538,2015-01-06,1,2,16,0
21171,2015-01-06,1,2,17,0
26845,2015-01-06,1,2,18,0
26026,2015-01-06,1,2,19,0
24401,2015-01-06,1,2,20,0
23308,2015-01-06,1,2,21,0
19331,2015-01-06,1,2,22,0
14453,2015-01-06,1,2,23,0
9190,2015-01-07,2,2,0,0
5580,2015-01-07,2,2,1,0
3331,2015-01-07,2,2,2,0
2282,2015-01-07,2,2,3,0
2296,2015-01-07,2,2,4,0
3900,2015-01-07,2,2,5,0
11458,2015-01-07,2,2,6,0
20908,2015-01-07,2,2,7,0
25759,2015-01-07,2,2,8,0
23237,2015-01-07,2,2,9,0
19681,2015-01-07,2,2,10,0
19492,2015-01-07,2,2,11,0
20325,2015-01-07,2,2,12,0
20469,2015-01-07,2,2,13,0
21766,2015-01-07,2,2,14,0
21441,2015-01-07,2,2,15,0
19067,2015-01-07,2,2,16,0
23561,2015-01-07,2,2,17,0
29597,2015-01-07,2,2,18,0
30512,2015-01-07,2,2,19,0
27882,2015-01-07,2,2,20,0
27163,2015-01-07,2,2,21,0
24117,2015-01-07,2,2,22,0
16639,2015-01-07,2,2,23,0
10430,2015-01-08,3,2,0,0
6034,2015-01-08,3,2,1,0
3606,2015-01-08,3,2,2,0
2444,2015-01-08,3,2,3,0
2266,2015-01-08,3,2,4,0
4016,2015-01-08,3,2,5,0
12079,2015-01-08,3,2,6,0
22534,2015-01-08,3,2,7,0
27142,2015-01-08,3,2,8,0
24633,2015-01-08,3,2,9,0
21183,2015-01-08,3,2,10,0
20198,2015-01-08,3,2,11,0
20955,2015-01-08,3,2,12,0
20408,2015-01-08,3,2,13,0
22304,2015-01-08,3,2,14,0
22869,2015-01-08,3,2,15,0
19145,2015-01-08,3,2,16,0
23738,2015-01-08,3,2,17,0
29732,2015-01-08,3,2,18,0
30515,2015-01-08,3,2,19,0
28953,2015-01-08,3,2,20,0
28159,2015-01-08,3,2,21,0
26724,2015-01-08,3,2,22,0
20853,2015-01-08,3,2,23,0
13948,2015-01-09,4,2,0,0
8392,2015-01-09,4,2,1,0
5515,2015-01-09,4,2,2,0
3713,2015-01-09,4,2,3,0
3028,2015-01-09,4,2,4,0
4201,2015-01-09,4,2,5,0
11302,2015-01-09,4,2,6,0
18011,2015-01-09,4,2,7,0
18895,2015-01-09,4,2,8,0
20194,2015-01-09,4,2,9,0
19100,2015-01-09,4,2,10,0
18731,2015-01-09,4,2,11,0
19817,2015-01-09,4,2,12,0
19811,2015-01-09,4,2,13,0
21706,2015-01-09,4,2,14,0
21485,2015-01-09,4,2,15,0
18628,2015-01-09,4,2,16,0
24055,2015-01-09,4,2,17,0
30655,2015-01-09,4,2,18,0
32571,2015-01-09,4,2,19,0
29015,2015-01-09,4,2,20,0
27733,2015-01-09,4,2,21,0
28687,2015-01-09,4,2,22,0
28754,2015-01-09,4,2,23,0
26586,2015-01-10,5,2,0,1
21782,2015-01-10,5,2,1,1
17535,2015-01-10,5,2,2,1
12487,2015-01-10,5,2,3,1
7673,2015-01-10,5,2,4,1
3856,2015-01-10,5,2,5,1
4797,2015-01-10,5,2,6,1
7676,2015-01-10,5,2,7,1
11425,2015-01-10,5,2,8,1
17546,2015-01-10,5,2,9,1
20906,2015-01-10,5,2,10,1
24645,2015-01-10,5,2,11,1
26936,2015-01-10,5,2,12,1
26292,2015-01-10,5,2,13,1
25200,2015-01-10,5,2,14,1
27145,2015-01-10,5,2,15,1
24870,2015-01-10,5,2,16,1
26401,2015-01-10,5,2,17,1
30966,2015-01-10,5,2,18,1
31396,2015-01-10,5,2,19,1
29979,2015-01-10,5,2,20,1
27413,2015-01-10,5,2,21,1
30186,2015-01-10,5,2,22,1
31842,2015-01-10,5,2,23,1
28873,2015-01-11,6,2,0,1
24937,2015-01-11,6,2,1,1
20440,2015-01-11,6,2,2,1
15274,2015-01-11,6,2,3,1
8943,2015-01-11,6,2,4,1
4036,2015-01-11,6,2,5,1
4174,2015-01-11,6,2,6,1
