pickup_hour,dropoff_hour,count
11,12,82
1,2,61
21,22,107
3,4,36
5,7,11
17,17,24
0,0,26
4,5,41
11,14,6
8,10,28
23,23,38
12,15,4
10,12,21
14,16,37
16,18,33
13,17,1
12,17,1
11,15,1
18,21,1
16,19,3
5,9,1
19,23,1
16,16,27
13,14,114
22,23,98
15,16,163
0,1,102
15,17,47
2,4,7
14,14,28
10,10,26
7,9,32
12,14,25
3,3,14
1,1,28
12,12,23
0,2,16
10,13,3
20,22,12
23,5,1
10,14,1
12,16,2
1,3,5
9,12,2
22,1,1
14,18,2
3,2,1
3,8,1
11,16,1
19,0,1
17,0,1
14,15,137
6,7,62
5,6,53
11,11,22
20,20,29
13,15,26
7,8,94
20,23,3
6,6,19
12,13,82
4,4,14
11,13,28
17,18,132
7,10,7
23,1,16
12,0,2
19,19,30
22,22,36
15,18,8
8,11,7
15,15,38
7,7,16
21,23,7
9,11,19
19,18,2
4,13,1
5,8,3
9,8,1
12,19,1
19,22,3
0,3,2
19,20,104
10,11,96
18,19,114
8,8,11
13,16,11
8,9,74
23,0,105
14,17,6
16,17,139
18,20,20
18,18,26
21,21,37
19,21,12
2,3,60
2,2,22
4,6,7
3,5,8
15,19,3
11,17,1
6,8,13
20,21,113
2,7,1
9,10,89
13,13,32
17,19,32
5,5,7
22,0,13
9,13,1
9,9,12
17,20,2
6,0,1
22,5,1
7,12,2
